latitude,longitude,bright_ti4,scan,track,acq_date,acq_time,satellite,confidence,version,bright_ti5,frp
-24.83211,-42.72856,317.9,0.6,0.7,2017-04-29,03:00,N,nominal,1.0NRT,284.2,8.1
-24.83377,-42.72211,307.7,0.6,0.7,2017-04-29,03:00,N,nominal,1.0NRT,287,8.3
-1.91536,-48.77941,304,0.4,0.4,2017-04-29,04:36,N,nominal,1.0NRT,279.1,0.6
-3.70723,-53.70972,302,0.4,0.4,2017-04-29,04:36,N,nominal,1.0NRT,281.8,0.9
-3.70806,-53.70909,302.8,0.4,0.4,2017-04-29,04:36,N,nominal,1.0NRT,281.8,0.7
-3.70913,-53.75238,305.3,0.4,0.5,2017-04-29,04:36,N,nominal,1.0NRT,283.3,1.2
-3.71374,-53.74955,311.2,0.4,0.5,2017-04-29,04:36,N,nominal,1.0NRT,282.9,1.2
-3.72179,-53.7509,303.7,0.4,0.5,2017-04-29,04:36,N,nominal,1.0NRT,282,1.4
-6.88542,-48.33825,302.9,0.4,0.4,2017-04-29,04:36,N,nominal,1.0NRT,286.6,0.5
-9.05174,-38.9356,327.5,0.5,0.7,2017-04-29,04:36,N,nominal,1.0NRT,290.7,4.1
-9.05293,-38.93623,328.2,0.5,0.7,2017-04-29,04:36,N,nominal,1.0NRT,291.1,2.9
-8.84343,-50.26165,302.7,0.4,0.4,2017-04-29,04:36,N,nominal,1.0NRT,273.8,0.4
-11.47197,-44.94116,324.8,0.4,0.5,2017-04-29,04:36,N,nominal,1.0NRT,291.1,2
-11.47616,-44.94173,344.1,0.4,0.5,2017-04-29,04:36,N,nominal,1.0NRT,292.4,3.7
-11.47669,-44.93785,305.5,0.4,0.5,2017-04-29,04:36,N,nominal,1.0NRT,290,1.4
-11.47982,-44.94614,303.1,0.4,0.5,2017-04-29,04:36,N,nominal,1.0NRT,290.8,3.7
-10.1194,-55.72084,314.7,0.4,0.5,2017-04-29,04:36,N,nominal,1.0NRT,289,1.3
-9.15349,-61.41325,304.3,0.5,0.7,2017-04-29,04:36,N,nominal,1.0NRT,285.5,1.5
-9.15437,-61.40853,317.9,0.5,0.7,2017-04-29,04:36,N,nominal,1.0NRT,285.9,1.5
-9.16049,-61.40973,300,0.5,0.7,2017-04-29,04:36,N,nominal,1.0NRT,285.1,1.5
-9.15384,-61.41005,328.6,0.5,0.7,2017-04-29,04:36,N,nominal,1.0NRT,285.7,2.9
-9.15996,-61.41121,307.9,0.5,0.7,2017-04-29,04:36,N,nominal,1.0NRT,285.4,1.2
-10.39438,-57.7122,303.9,0.6,0.5,2017-04-29,04:36,N,nominal,1.0NRT,287.3,1.2
-11.09571,-54.50434,312.2,0.5,0.4,2017-04-29,04:36,N,nominal,1.0NRT,289.6,1.9
-12.99157,-45.84454,298.5,0.4,0.4,2017-04-29,04:36,N,nominal,1.0NRT,281.8,0.5
-12.99207,-45.84095,301.8,0.4,0.4,2017-04-29,04:36,N,nominal,1.0NRT,281.5,0.5
-11.43851,-58.76763,316.3,0.6,0.6,2017-04-29,04:36,N,nominal,1.0NRT,287,3.7
-11.99964,-57.87801,303.3,0.5,0.5,2017-04-29,04:36,N,nominal,1.0NRT,287.2,1.1
-13.86147,-50.40288,299.9,0.4,0.4,2017-04-29,04:36,N,nominal,1.0NRT,277.4,0.7
